id	sentence	cluster	count
0	 Robert Bowers, who opened fire at the Tree of Life Synagogue, in Pittsburgh, this morning, killing at least eleven people, was not evasive about his intent.	12	28
3	It has been marked, too, by mass murders in houses of worship-in recent years, the massacre of twenty-six people at a Baptist church in Sutherland Springs, Texas, last November, and the murder of nine African-American worshippers at Emanuel AME Church, in Charleston, South Carolina, by the white supremacist Dylann Roof.	11	2
9	 Armed with an AR-15-style assault rifle and at least three handguns, a man shouting anti-Semitic slurs opened fire inside a Pittsburgh synagogue Saturday morning, killing at least 11 congregants and wounding four police officers and two others, the authorities said.	12	28
10	The assailant, identified by law enforcement officials as Robert D Bowers, fired for several minutes and was leaving the synagogue when officers, dressed in tactical gear and armed with rifles, met him at the door.	12	28
12	"Pittsburgh residents embraced near Tree of Life Congregation after the shooting.Calling it the ""most horrific crime scene"" he had seen in 22 years with the FBI, Robert Jones, special agent in charge in Pittsburgh, said the synagogue was in the midst of a ""peaceful service"" when congregants were gunned down and ""brutally murdered by a gunman targeting them simply because of their faith."""	12	28
13	Last November, a gunman killed 26 worshipers at a church in Sutherland Springs, Tex., and in 2015, a white supremacist killed nine congregants in a church in Charleston, SC It came amid rising anxiety about illegal immigration and in a decade that has seen an uptick in hate crimes.	11	2
14	Police dispatchers received the first emergency calls at 9:54 am, Mr Jones of the FBI said, and police officers, including a SWAT team, were dispatched a minute later.	12	28
16	Ben Opie, 55, who can see the synagogue from his backyard, said his wife was about to leave their house to do some volunteer work when SWAT officers approached their home and said there was a gunman in the synagogue.	12	28
18	 Eleven people have been killed, officials say, in a gun attack on a synagogue in the US city of Pittsburgh, Pennsylvania.	12	28
19	Hundreds of people - from the neighbourhood and also all across Pittsburgh - later gathered for an interfaith vigil for the victims of the attack in Squirrel Hill.	12	28
21	Squirrel Hill has one of the largest Jewish populations in Pennsylvania and this would have been the synagogue's busiest day of the week.	5	2
26	 The man accused of killing 11 Jews in an anti-Semitic attack at a Pittsburgh synagogue was charged in a 44-count indictment that includes federal hate crimes.	12	28
27	"Suspect Robert Bowers, 46, ""made statements indicating his desire to 'kill Jews'"" in the shooting attack on Saturday, the Department of Justice said in its indictment Wednesday."	12	28
29	Grieving family, friends and neighbors of the 11 people gunned down at the Tree of Life synagogue meanwhile continued Wednesday with a series of funerals.	12	28
34	 A gunman who's believed to have spewed anti-Semitic slurs and rhetoric on social media barged into a Pittsburgh synagogue on Saturday and opened fire, killing 11 people in one of the deadliest attacks on Jews in US history.	12	28
35	The 20-minute attack at Tree of Life Congregation in the Squirrel Hill neighborhood left six others wounded, including four police officers who dashed to the scene, authorities said.	12	28
39	"Bob Jones, head of the FBI's Pittsburgh office, said that worshippers ""were brutally murdered by a gunman targeting them simply because of their faith,"" though he cautioned the shooter's full motive was not yet known."	12	28
40	"""Our hearts break for the families of those killed and injured at the Tree of Life Synagogue, and for the entire Jewish community of Pittsburgh,"" Greenblatt said."	12	28
42	Eisenberg, the former synagogue president, said officials at Tree of Life had not gotten any threats that he knew of before the shooting.	12	28
43	 Eight people are reportedly dead and more wounded after a gunman opened fire at a synagogue in Pittsburgh on Saturday morning.	12	28
44	"Police spokesman Chris Togneri said that a suspect is in custody after being taken to the hospital, adding that there are ""multiple casualties inside the synagogue."""	12	28
45	Multiple law enforcement sources told local CBS affiliate KDKA and CNN that the gunman had been identified as Robert Bowers, 46.	12	28
46	KDKA reported that eight people had been killed and others were wounded, including the officers who exchanged gunfire with the gunman.	12	28
49	"Police sources told KDKA that the suspected shooter made an anti-Semitic remark upon beginning the attack, shouting ""all Jews must die"" as he entered the building and opened fire."	12	28
53	 Eleven people were killed Saturday morning during a mass-shooting at The Tree of Life Synagogue in Pittsburgh, Pennsylvania, that ended in the arrest of a single suspect, Robert Bowers, and the recovery of multiple weapons.	12	28
56	"""This is the most horrific crime scene I've seen in 22 years,"" echoed Bob Jones, FBI special agent in charge at the bureau's Pittsburgh office, adding that 11 people were ""brutally murdered by a gunman simply targeting them because of their faith."""	12	28
58	Law enforcement officials engaged the suspect upon arriving, and two police officers and two SWAT officers were among the six victims who suffered non-fatal injuries, Mr Hissrich added.	12	28
59	Police arrested the suspect around 20 minutes after the first shots were fired and subsequently recovered weapons including an assault rifle and three handguns, Mr Jones told reporters.	12	28
60	Located in the Squirrel Hill neighborhood of eastern Pittsburgh, Pennsylvania's second largest city, The Tree of Life Synagogue hosts weekly services every Saturday morning, according to its website.	5	2
62	burst into a Pittsburgh synagogue during Sabbath services, shooting and killing at least 11 people and wounding a half-dozen more, including four police officers, before surrendering.	12	28
65	The suspect - identified by CBS affiliate KDKA as 46-year-old Robert Bowers, a bearded, heavyset resident of Pittsburgh - was armed with an AR-15-style assault rifle and two handguns, according to multiple reports.	12	28
67	The investigation will be led by the FBI in Philadelphia, and the shooting has been classified a federal hate crime, he said.	12	28
