id	sentence	cluster	count
0	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting.	22	7
6	I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him, Harris told Fox32.	16	4
11	Shortly after Roberson subdued the suspect at gunpoint, police arrived - and fatally shot the armed security guard as he pinned the suspect to the ground.	22	7
20	A police officer fatally shot an armed security guard who witnesses say was trying to detain a man following a shooting at a suburban Chicago bar, authorities said.	22	7
21	Investigators said 26-year-old Jemel Roberson was pronounced dead shortly after being taken to a hospital following the shooting early on Sunday at Manny's Blue Room in Robbins, just south of Chicago.	42	2
22	Four other people were shot and wounded during the incident, including a man who police believe fired a gun before police arrived, the Cook county sheriff's spokeswoman, Sophia Ansari, said.	26	2
23	"When police arrived at the scene, Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back,"" witness Adam Harris told WGN-TV."	18	2
25	"An officer responding from nearby Midlothian encountered and shot ""a subject with a gun"", the Midlothian police chief, Daniel Delaney, said in a statement."	31	3
28	"Roberson was working to ""enough money together for a deposit on a new apartment"", said Hunter, the great uncle of Laquan McDonald, a black teenager fatally shot in 2014 by a white Chicago police officer."	17	2
29	Illinois state police are handling the investigation into Roberson's shooting.	20	2
32	"Midlothian Police Chief Daniel Delaney said that's when one of his officers ""encountered a subject with a gun"" and shot him, according to a statement given to the media."	31	3
40	An armed security guard at a bar in suburban Chicago was killed by police as he detained a suspected gunman, according to officials and witnesses.	22	7
45	The security guard that got killed, he caught somebody and had his knee on him the whole time, Mr Harris said.	11	2
46	"I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him."""	16	4
50	A black security guard at a bar in the Chicago suburbs was killed by the police as he apparently tried to detain a man he believed to be involved in a shooting, the authorities said Monday.	22	7
64	"I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him."""	16	4
65	The Cook County Sheriff's Office is investigating the first shooting, while the State Police Public Integrity Task Force is investigating the police shooting.	20	2
70	"A police officer fatally shot an armed security guard who was wearing a hat with ""security"" emblazoned across the front and holding a man down following a shooting inside the suburban Chicago bar where the guard worked, an attorney for the guard's family said Monday after filing a federal lawsuit."	22	7
71	Jemel Roberson, 26, was pronounced dead shortly after being taken to a hospital early Sunday following the shooting at Manny's Blue Room in Robbins, just south of Chicago.	42	2
72	Four others were shot and wounded, including a man who police believe fired a gun before police arrived, Cook County sheriff's spokeswoman Sophia Ansari said.	26	2
73	"When police arrived at the scene, Roberson was holding ""somebody on the ground with his knee in his back, with his gun in his back,"" witness Adam Harris told WGN-TV."	18	2
74	"Investigators said the initial gunfire was reported around 4 am An officer responding from nearby Midlothian encountered and shot ""a subject with a gun,"" Midlothian Police Chief Daniel Delaney said in a statement."	31	3
78	"Roberson was trying to ""get enough money together for a deposit on a new apartment,"" said Hunter, the great uncle of Laquan McDonald, a black teenager fatally shot by a white Chicago police officer in a high-profile 2014 case."	17	2
80	A police officer gunned down an armed black security guard who tried to stop a shooting at a suburban Chicago bar, according to reports Monday.	22	7
85	The security guard that got killed, he caught somebody and had his knee on him the whole time, Harris told Fox32.	11	2
86	"I guess when the police got there, they probably thought he was one of the bad guys, 'cause he had his gun on the guy and they shot him,"" he said."	16	4
