sentence1_id	sentence2_id	sentence1	sentence2	similarity_score
0	0	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	1.0000022375606932
0	1	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	0.869657546718372
0	2	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In a separate suit against Snipes, Scott's campaign asked a judge to block Broward County from counting any of the ballots it didn't include in the unofficial results it submitted to the Florida Department of State by noon Saturday, a deadline set by state law.	0.7926942897029221
0	3	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Nelson's campaign also has a lawsuit seeking to force the state to count ballots thrown out because the signature on them didn't match the one on file with the state's voter registration.	0.752075167838484
0	4	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In a televised statement in front of the governor's mansion Thursday evening, Scott suggested there was "rampant fraud" in Broward and Palm Beach counties and asked the Florida Department of Law Enforcement to investigate.	0.7718906745139975
0	5	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 The two marquee races in Florida remain so tight they are officially headed toward a recount, the state secretary of state, Ken Detzner-an appointee of current Florida governor and Republican Senate candidate Rick Scott-announced Saturday.	0.7804517867043614
0	6	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	The recounts seemed inevitable as the races tightened in the aftermath of Tuesday's vote and became a certainty after the noon deadline Saturday for county election supervisors to submit their results passed with both races within the 0.5 percent margin that legally mandates a recount.	0.5883821977477055
0	7	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In the Senate race, because it's closer than 0.25 percent, an additional hand recount is required by law of votes that were not initially counted by the voting machines for whatever reason.	0.5845117426360957
0	8	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	The Florida Department of State has sent monitors to Broward County, which had tallied more than 700,000 votes as of Thursday afternoon, stemming from a lawsuit over the county's mishandling of 2016 congressional race ballots.	0.8446426538284868
0	9	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Further complicating matters in the Senate race is a potential ballot design flaw that may have caused tens of thousands of voters to skip over the Senate contest in Broward County, which was buried underneath the ballot instructions.	0.7393361942376941
0	10	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Andrew Gillum, the mayor of Tallahassee and Democratic nominee for Florida governor, has withdrawn his Election Day concession to opponent and hero to racists, Ron DeSantis.	0.7443730959494133
0	11	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Earlier today, Ken Detzner, Florida's Secretary of State, announced that the state was doing a recount via machine.	0.7371276544290595
0	12	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	This part of the process has to be wrapped up by Thursday, at 3 pm Additionally, if races come within a .25 percent margin, those votes trigger a recount by hand.	0.5042843564297073
0	13	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Georgia and Arizona are also fighting to get every vote counted, with particular attention on Stacey Abrams, who has yet to concede to former Secretary of State Brian Kemp in Georgia's battle for governor.	0.6511458297609352
0	14	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	It's also a big deal on a symbolic level, as President Donald Trump seems to think not every vote matters, as shown by his snark on Twitter: "You mean they are just now finding votes in Florida and Georgia - but the Election was on Tuesday?	0.6274949933867902
0	15	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Florida began the first full, statewide vote recount in its history on Saturday after authorities found that tallies submitted by its 67 counties left the contests for Senate, governor and agriculture commissioner too close to call.	0.7404051619232632
0	16	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Recounts were also ordered in a State Senate race and two contests for the State House, a measure of the slender margins in the nation's largest swing state that have left two of the most closely watched races in the country still undecided, four days after the midterm elections.	0.6415544114133809
0	17	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	The sight of grim-faced candidates, shouting protesters outside the Broward County elections office and lawyers flown in from Washington evoked memories of Florida's hotly contested recount over the 2000 presidential election between George W Bush and Al Gore and capped off one of the most bitterly divisive midterm election seasons in years.	0.6364441942423582
0	18	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Mr Scott, who has filed lawsuits against elections officials in Broward and Palm Beach Counties over the handling of ballots, made it clear he was not expecting to relinquish the seat he claimed on Tuesday night and suggested the latest results filed on Saturday had reconfirmed it.	0.8222702410421334
0	19	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	The odds that Mr Gillum, who trails by 0.41 percentage points, and even Mr Nelson, who is behind by about 0.15 percentage points, will find themselves on top after a recount seem low, according to veterans of Florida's presidential recount in 2000.	0.5604627396678552
0	20	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Florida has ordered a machine recount of votes for state governor and senator following last week's closely fought mid-term elections, officials say.	0.784497397398809
0	21	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In the race for Florida's Senate seat, unofficial results revealed a gap of just 0.15% between the votes for incumbent Democrat Bill Nelson and Mr Scott.	0.7166692230384797
0	22	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Mr Scott, who claimed victory on Tuesday, is suing officials over an election recount, while Mr Nelson is suing over uncounted ballots - and there have also been a number of protests outside the elections office.	0.798525226127822
0	23	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Mr Trump told reporters on Friday, before leaving for Paris to commemorate the 100th anniversary of the end of World War One, that he believed that Mr Scott had clearly won the election.	0.4218313981255051
0	24	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Mr Gore's fate was finally sealed by a US Supreme Court ruling that said in essence that time had run out for recounts in the crucial state, granting Mr Bush the presidency.	0.5985754629364237
0	25	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Florida's Senate and governor's races have gone to a recount that will decide two key offices in the largest US swing state, setting off outcries from Republicans led by President Donald Trump and Rick Scott, the state's governor now vying to be a US Senator.	0.7453111684299074
0	26	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In the Senate race, the unofficial count had Republican Scott leading incumbent Democrat Bill Nelson by about 12,600 votes among roughly 8.2 million votes cast in the Nov 6 election.	0.7186996605014428
0	27	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Trump, Scott and other Republicans have attempted to sow doubt about the process and raise suspicions about electoral officials, especially Broward County's election supervisor Brenda Snipes, who oversaw the vote in the state's second-most populous county, which includes Fort Lauderdale and Coral Springs.	0.8098608333966695
0	28	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Pressed on ABC's "This Week" on Sunday to offer one piece of evidence that efforts are underway to "steal" the Florida election, as Trump tweeted Saturday, White House adviser Kellyanne Conway cited "boxes of votes just appearing out of nowhere" and past criticism of Snipes.	0.7140308684029151
0	29	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	The race for Florida's agriculture commissioner will go to a recount as well, with Democrat Nikki Fried now edging Republican Matt Caldwell by about 5,300 votes.	0.6996408825216349
0	30	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Florida Republican Senate candidate Rick Scott insisted Monday he "won the election" while accusing incumbent Democratic Sen. Bill Nelson of trying to "steal" the race from him, amid chaotic recounts in the sunshine state's Senate and gubernatorial races.	0.7940989526105113
0	31	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Over the weekend, Florida's secretary of state Ken Detzner announced there would be recounts in both the Senate race and the governor's race, noting that unofficial results in both races fell within the margin that by law triggers a recount.	0.6908982497407123
0	32	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In the Florida governor's race, Republican candidate Ron DeSantis was announced the winner by the end of Election Day, with his Democratic opponent Andrew Gillum conceding on the night of the election.	0.6675896504020784
0	33	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	"The Florida Election should be called in favor of Rick Scott and Ron DeSantis in that large numbers of new ballots showed up out of nowhere, and many ballots are missing or forged.	0.7584835519082844
0	34	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In Georgia's gubernatorial race, Republican Brian Kemp declared victory, though his Democratic opponent Stacey Abrams refused to concede and filed a federal lawsuit in an effort to force a runoff election.	0.7783510984154418
0	35	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Florida authorities on Saturday ordered a statewide recount in the contentious races for US Senate and governor, amid tit-for-tat accusations of fraud from the candidates - plunging the state once again into election uncertainty.	0.7876207891968079
0	36	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	After the cut-off, the Senate race between outgoing Republican governor Rick Scott and incumbent Democrat Bill Nelson was super close: Scott's lead stood at just 12,562 votes out of nearly 8.2 million cast, a margin of just 0.15 percent.	0.7254462150740437
0	37	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	In the governor's race, the latest unofficial results on the Florida division of elections website show Republican Ron DeSantis, who was backed by Donald Trump, leading Democratic candidate Andrew Gillum by just 33,684 votes out of more than 8.2 million cast, or a margin of 0.41 percent.	0.7005557934462558
0	38	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	On Saturday, he urged Florida's sheriffs to "watch for any violations during the recount process as outlined in Florida law."	0.7907885003078263
0	39	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	The recount is reminiscent of the dramatic recounts that occurred in parts of Florida after the 2000 presidential election between George W Bush and Al Gore.	0.538753761065891
0	40	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	 Florida election officials ordered statewide ballot recounts Saturday as ferocious battles over vote tallies left Senate and governor's races there in doubt.	0.7545997184934095
0	41	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Unofficial vote totals submitted today at noon gave Republican Ron DeSantis a 0.4 percent edge over Democrat Andrew Gillum in the governor's race, triggering an automatic machine recount under state law.	0.7322653189476114
0	42	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	Rick Scott's advantage over incumbent Sen. Bill Nelson in the fight for a seat in the US Senate was just 0.15 percent - 12,562 votes out of nearly 8.2 million cast.	0.7003583014011383
0	43	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	If the machine recount yields a margin of victory less than 0.25 percent, state law requires Florida to conduct a hand recount that could take weeks.	0.6311559336609207
0	44	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	"Bill Nelson's lawyer Marc Elias has previously stated that margins smaller than ours are 'insurmountable,'" Scott's campaign said.	0.6295738166954834
1	0	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	 Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results.	0.869657546718372
1	1	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	1.0000023554312065
1	2	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	In a separate suit against Snipes, Scott's campaign asked a judge to block Broward County from counting any of the ballots it didn't include in the unofficial results it submitted to the Florida Department of State by noon Saturday, a deadline set by state law.	0.8304311239044182
1	3	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	Nelson's campaign also has a lawsuit seeking to force the state to count ballots thrown out because the signature on them didn't match the one on file with the state's voter registration.	0.7886773804784752
1	4	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	In a televised statement in front of the governor's mansion Thursday evening, Scott suggested there was "rampant fraud" in Broward and Palm Beach counties and asked the Florida Department of Law Enforcement to investigate.	0.7372173538897187
1	5	Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots.	 The two marquee races in Florida remain so tight they are officially headed toward a recount, the state secretary of state, Ken Detzner-an appointee of current Florida governor and Republican Senate candidate Rick Scott-announced Saturday.	0.7402831659419462
