article_id	topic_id	topic	title	publication	url	summary
1	1	Accidental shooting	A Security Guard Who Stopped A Gunman At A Bar Was Shot And Killed By Responding Police	BuzzFeed News	https://www.buzzfeednews.com/article/maryanngeorgantopoulos/security-guard-illinois-bar-police-shot-killed-gun	A security guard at an Illinois bar was shot and killed early Sunday by a police officer who arrived at the scene following reports of a shooting. Jemel Roberson, 26, was shot by a Midlothian police officer who arrived at Manny's Blue Room Lounge in Robbins, Illinois, around 4 am on Sunday. According to a statement by Midlothian Police Department Chief Daniel Delaney, officers who arrived at the scene "learned there were several gunshot victims inside the bar." "Officers encountered a subject with a gun and was involved in an Officer involved shooting," the statement, which does not identify the police officer, said. One witness told WGN9 that a drunk patron who was asked to leave the bar returned with a gun and opened fire inside. According to witnesses who spoke to local reporters, Roberson apprehended the suspect until police arrived. "I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him," Harris told Fox32. She said she did not hear police tell Roberson to put his gun down. According to a GoFundMe page, Roberson was "a gifted basketball player and musician, and his love for God and his family were at the forefront of his life." Roberson played music at the Purposed Church in Chicago for the past several years, according to Pastor LeAundre Hill, who tweeted that Roberson "had just played for my grandma's funeral Friday and now he's gone."
2	1	Accidental Shooting	A black security guard caught a shooting suspect - only to be shot by police minutes later	Vox	https://www.vox.com/identities/2018/11/12/18088874/jemel-roberson-police-shooting-security-guard-illinois	In the early hours of November 11, 26-year-old Jemel Roberson was working security at a bar in the Chicago suburbs when a shooting broke out. Shortly after Roberson subdued the suspect at gunpoint, police arrived - and fatally shot the armed security guard as he pinned the suspect to the ground. In preliminary findings released on Tuesday, Illinois State Police (which is tasked with investigating the shooting) argued that the officer gave Roberson "multiple verbal commands" to drop his weapon before opening fire. Gregory Kulis, a lawyer representing Roberson's mother in a civil rights lawsuit filed after the shooting, said that Roberson had a hat with the words "SECURITY" on it. News of Roberson's shooting comes amid a national conversation about racial disparities in police violence, and how it affects black men and women. Coverage of Roberson's shooting has focused on exactly how long it took the officer to use his weapon after he arrived at the scene, and what commands, if any, were made before he opened fire. Witness statements provided to media have suggested that the officer involved in the shooting did not react to cries that Roberson was a security guard. But the statement from the state police argues that the responding officer had no way to know Roberson was security and that he only fired after Roberson did not respond to commands. Dorian Myrickes, a colleague of Roberson's and one of the people injured in the initial gunfight, told the Associated Press on Wednesday that he did not hear the police officer issue any commands. Patricia Hill, another pastor at Purposed Church, said that Roberson wanted to become a police officer, calling it a tragedy that he was killed in a police shooting.
3	1	Accidental Shooting	Officer fatally shoots security guard who detained gunman at suburban Chicago bar	The Guardian	https://www.theguardian.com/us-news/2018/nov/12/officer-fatally-shoots-security-guard-chicago-suburbs-bar	A police officer fatally shot an armed security guard who witnesses say was trying to detain a man following a shooting at a suburban Chicago bar, authorities said. Investigators said 26-year-old Jemel Roberson was pronounced dead shortly after being taken to a hospital following the shooting early on Sunday at Manny's Blue Room in Robbins, just south of Chicago. Four other people were shot and wounded during the incident, including a man who police believe fired a gun before police arrived, the Cook county sheriff's spokeswoman, Sophia Ansari, said. When police arrived at the scene, Roberson was holding "somebody on the ground with his knee in his back, with his gun in his back," witness Adam Harris told WGN-TV. Roberson was licensed to carry a firearm, Ansari said. An officer responding from nearby Midlothian encountered and shot "a subject with a gun", the Midlothian police chief, Daniel Delaney, said in a statement. Roberson, who was black, was the only person killed in the shooting. The Rev Marvin Hunter said Roberson was an "upstanding young man" and a promising keyboard player who played at his and several other area churches. Roberson was working to "enough money together for a deposit on a new apartment", said Hunter, the great uncle of Laquan McDonald, a black teenager fatally shot in 2014 by a white Chicago police officer. Illinois state police are handling the investigation into Roberson's shooting.
4	1	Accidental Shooting	Police Fatally Shoot Black Security Guard Who Detained Shooting Suspect	NPR	https://www.npr.org/2018/11/13/667252788/police-fatally-shoot-black-security-guard-who-detained-suspected-shooter?t=1542105437068&t=1543335371240	When police arrived after reports of a shooting over the weekend at a bar outside Chicago, witnesses say Jemel Roberson, a 26-year-old security guard who worked there, had already subdued the alleged assailant in the parking lot, pinning him to the ground. Adam Harris, who was at Manny's Blue Bar in Robbins at the time of the incident on Sunday, told WGN-TV that Roberson was holding "somebody on the ground with his knee in his back, with his gun in his back" when officers from neighboring Midlothian got there early Sunday. Midlothian Police Chief Daniel Delaney said that's when one of his officers "encountered a subject with a gun" and shot him, according to a statement given to the media. But the "subject" was Roberson, not the suspect in the bar shooting. On Tuesday, Illinois State Police issued a statement saying that "a Midlothian Police Officer encountered a subject in plain black clothing with no markings readily identifying him as a Security Guard, armed with a gun in the west parking lot." "According to witness statements, the Midlothian Officer gave the armed subject multiple verbal commands to drop the gun and get on the ground before ultimately discharging his weapon and striking the subject," the statement said. Other witnesses, and a lawsuit filed by Roberson's family, reportedly said he was wearing a hat emblazoned with the word "security." Another witness, Jakia Woods, told member station WBEZ's Miles Bryan that Roberson was wearing an orange vest and the hat marked "security." Woods said that the Midlothian officer came out of the club's back door - weapon drawn - and ordered Roberson to "get on the ground." Roberson's family filed a lawsuit on Monday against the Midlothian police department and the officer who shot him, seeking damages of $1 million.
5	1	Accidental Shooting	Outcry after police shoot African-American security guard 'hero'	BBC News	https://www.bbc.com/news/world-us-canada-46187460	An armed security guard at a bar in suburban Chicago was killed by police as he detained a suspected gunman, according to officials and witnesses. After gunfire erupted around 04:00 local time on Sunday, Jemel Roberson, 26, chased down an attacker and knelt on his back until police arrived. Moments after police came on the scene, an officer opened fire on Roberson, who was black, killing him. Roberson worked as a gospel musician at several nearby churches, and also had found work at Manny's Blue Room in Robbins, Illinois, where the shooting occurred. Sophia Ansari, a spokeswoman for the Cook County Sheriff's office, said police were called to the scene after a fight broke out in the bar and four people were shot. "The security guard that got killed, he caught somebody and had his knee on him the whole time," Mr Harris said. I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him." "Everybody was screaming out 'security, he was a security guard'", Mr Harris added, "and they still did their job and saw a black man with a gun and basically killed him". The chief of the Midlothian police, whose officer fired the fatal shot, said in a statement: "Upon arrival officers learned there were several gunshot victims inside the bar." "How in the world does the security guard get shot by police?"
6	1	Accidental Shooting	Black Security Guard Responding to Shooting Is Killed by Police	The New York Times	https://www.nytimes.com/2018/11/12/us/police-officer-shoots-security-guard-chicago.html	A black security guard at a bar in the Chicago suburbs was killed by the police as he apparently tried to detain a man he believed to be involved in a shooting, the authorities said Monday. Officers from several police departments had responded to reports of a shooting early Sunday morning at Manny's Luxury Lounge in Robbins, Ill., said Sophia Ansari, a spokeswoman for the Cook County Sheriff's Office. After the authorities responded, a police officer shot the guard, Jemel Roberson, 26, who had a gun, Ms. Ansari said. Witnesses said that people in the crowd had yelled to arriving police officers that Mr Roberson, who was wearing gear that read "Security," was a guard. Ms. Ansari confirmed that Mr Roberson worked for the bar. An officer with the Midlothian Police Department shot Mr Roberson, Ms. Ansari said. On Monday, Mr Roberson's mother, Beatrice Roberson, filed a federal lawsuit against the unnamed police officer and the village of Midlothian. The shooting of Mr Roberson is being investigated by the Illinois State Police, who did not return a call for comment. Family friends of Mr Roberson's said he had worked as an organist at several local churches and had once dreamed of becoming a police officer himself, according to local news reports. Mr Roberson had a state firearm owner's identification card, Ms. Ansari said, which authorized his possession of firearms.
7	1	Accidental Shooting	Cop accidentally kills security guard at bar in Chicago suburbs: report	Fox News	https://www.foxnews.com/us/cop-accidentally-kills-security-guard-at-bar-in-chicago-suburbs	A police officer mistakenly shot and killed a security guard at a bar in Chicago's south suburbs early Sunday morning, Chicago's Fox 32 reported. Witnesses said a security guard told a group of "drunk men" to leave a Robbins bar around 4 am An armed suspect later came back inside the bar and opened fire, WGN-TV reported, citing witnesses. Roberson then requested help from Midlothian Police, the Cook County Sheriff's Office said. "The security guard that got killed, he caught somebody and had his knee on him the whole time," said one witness cited by Fox 32. I guess when the police got there, they probably thought he was one of the bad guys, cause he had his gun on the guy and they shot him." The Cook County Sheriff's Office is investigating the first shooting, while the State Police Public Integrity Task Force is investigating the police shooting. The shooting coincided with another violent weekend in Chicago with 20 shot -- including 3 fatally, The Chicago Sun-Times reported. The fatalities began early Saturday when a 29-year-old man was shot at a restaurant in the city's Far South Side, the report said. On Saturday evening, a 42-year-old man died inside his South Green Street apartment when someone took out a gun and shot him during a dice game, the Cook County medical examiner's office said. A 24-year-old man on Sunday evening was shot by an unidentified gunman multiple times in the chest and abdomen, the report said.
8	1	Accidental Shooting	Lawsuit alleges security guard shot while holding suspect	Daily Mail	https://www.dailymail.co.uk/wires/ap/article-6381075/Illinois-officer-responds-gunfire-fatally-shoots-guard.html	A police officer fatally shot an armed security guard who was wearing a hat with "security" emblazoned across the front and holding a man down following a shooting inside the suburban Chicago bar where the guard worked, an attorney for the guard's family said Monday after filing a federal lawsuit. Jemel Roberson, 26, was pronounced dead shortly after being taken to a hospital early Sunday following the shooting at Manny's Blue Room in Robbins, just south of Chicago. Four others were shot and wounded, including a man who police believe fired a gun before police arrived, Cook County sheriff's spokeswoman Sophia Ansari said. When police arrived at the scene, Roberson was holding "somebody on the ground with his knee in his back, with his gun in his back," witness Adam Harris told WGN-TV. Investigators said the initial gunfire was reported around 4 am An officer responding from nearby Midlothian encountered and shot "a subject with a gun," Midlothian Police Chief Daniel Delaney said in a statement. Attorney Gregory Kulis filed a civil rights lawsuit seeking more than $1 million on behalf of Roberson's mother, Beatrice Roberson. He said Jemel Roberson was dressed in black but wearing a hat with the word "security" when he was shot. Kulis also echoed witness reports that Roberson was holding down another man outside the bar when the officer arrived and shot him. Roberson was trying to "get enough money together for a deposit on a new apartment," said Hunter, the great uncle of Laquan McDonald, a black teenager fatally shot by a white Chicago police officer in a high-profile 2014 case. Roberson also had hopes of someday becoming a police officer, according to his son's mother.
9	1	Accidental Shooting	Cop fatally shoots security guard at bar in Chicago suburbs	New York Post 	https://nypost.com/2018/11/12/cop-fatally-shoots-security-guard-at-bar-in-chicago-suburbs/	A police officer gunned down an armed black security guard who tried to stop a shooting at a suburban Chicago bar, according to reports Monday. The 26-year-old guard, Jemel Roberson, had restrained a thug involved in the shooting outside Manny's Blue Room in Robbins, Ill., after gunfire broke out at 4 am Sunday, according to local station Fox32. But cops who rushed to the bar mistook the guard for "one of the bad guys," witness Adam Harris told Fox32. Earlier in the night, security workers had asked a group of drunken men to leave the bar, and they later returned with a gun, according to WGN-TV. Roberson tackled one of the men and held him on the ground as he waited for cops to arrive, Harris said. "The security guard that got killed, he caught somebody and had his knee on him the whole time," Harris told Fox32. I guess when the police got there, they probably thought he was one of the bad guys, 'cause he had his gun on the guy and they shot him," he said. Walter Turner, a church friend, added, "How in the world does the security guard get shot by police?" The Midlothian Police Department is investigating the police-involved shooting, according to the Chicago Sun-Times. "It is the policy of the Midlothian Police Department to utilize the Illinois State Police Public Integrity Task Force for any officer-involved shootings so we can ensure transparency and maintain public trust," Midlothian police said in a statement, according to the newspaper.
10	2	Florida midterm vote recount	One Day In, Florida's Senate Recount Gets Messier	The Huffington Post	https://www.huffingtonpost.com/entry/florida-recount-rick-scott-bill-nelson_us_5be8b7f6e4b0769d24ceb6c9?guccounter=1	Rick Scott's campaign filed a handful of lawsuits seeking to give law enforcement custody of election equipment and prevent certain ballots from being included in official results. Scott accused Brenda Snipes, the supervisor of elections in Broward County, of violating state law by refusing to provide information to his campaign about the number of outstanding ballots. He also alleged Susan Bucher, the supervisor of elections in Palm Beach County, had run afoul of state law by duplicating and damaging certain ballots. In a separate suit against Snipes, Scott's campaign asked a judge to block Broward County from counting any of the ballots it didn't include in the unofficial results it submitted to the Florida Department of State by noon Saturday, a deadline set by state law. Florida accepts vote-by-mail ballots until 7 pm on Election Day and the county may not have them all counted by Saturday's deadline. "If Rick Scott wanted to make sure every legal ballot is counted, he would not be suing to try and stop voters from having their legal ballot counted as intended," the campaign said in a statement. "In suing to seize ballots and impound voting machines, Rick Scott is doing his best to impersonate Latin American dictators who have overthrown Democracies in Venezuela and Cuba," Penalosa said. Nelson's campaign also has a lawsuit seeking to force the state to count ballots thrown out because the signature on them didn't match the one on file with the state's voter registration. In a televised statement in front of the governor's mansion Thursday evening, Scott suggested there was "rampant fraud" in Broward and Palm Beach counties and asked the Florida Department of Law Enforcement to investigate. The state law enforcement agency said Friday it wasn't investigating any allegations of fraud, but Scott continued to insist in a television interview on Fox News Sunday that such fraud existed.
